symbol,company_name,sector,industry,data_date,open_price,high_price,low_price,close_price,volume,sma_7,ema_21,rsi_14,macd,micro_pe,micro_pb,micro_roe,micro_roa,micro_eps,micro_eps_ttm,micro_de,micro_current_ratio,micro_quick_ratio,micro_gross_margin,micro_net_profit_margin,macro_vnindex_open,macro_vnindex_high,macro_vnindex_low,macro_vnindex_close,macro_vnindex_volume,macro_vn30_open,macro_vn30_high,macro_vn30_low,macro_vn30_close,macro_vn30_volume,macro_hnxindex_open,macro_hnxindex_high,macro_hnxindex_low,macro_hnxindex_close,macro_hnxindex_volume,macro_upcomindex_open,macro_upcomindex_high,macro_upcomindex_low,macro_upcomindex_close,macro_upcomindex_volume,news_headlines,event_headlines
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-27,84.200000,85.800000,84.000000,85.000000,5418600,85.642857,85.781192,48.149628,0.166790,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1843.940000,1845.700000,1821.790000,1830.500000,788848818,2034.000000,2036.820000,2010.570000,2019.880000,336391094,247.170000,252.850000,247.170000,252.840000,62361663,127.080000,127.460000,126.200000,127.420000,48199550,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-28,84.900000,85.800000,84.300000,85.500000,6085200,85.471429,85.755630,49.765146,0.131934,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1837.670000,1842.610000,1793.130000,1802.910000,1046874107,2021.050000,2031.760000,1987.470000,1997.130000,526438781,252.150000,256.520000,250.310000,252.470000,104801216,127.600000,127.890000,127.140000,127.690000,64789704,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-29,85.700000,89.500000,85.300000,89.500000,15892000,85.971429,86.096027,60.396107,0.422210,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1804.150000,1814.980000,1797.320000,1814.980000,723177476,2003.070000,2018.980000,2001.010000,2018.980000,339081650,252.480000,254.350000,251.030000,252.720000,75787931,128.020000,128.650000,128.020000,128.650000,53403289,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-01-30,90.000000,93.400000,89.800000,92.900000,20845900,87.042857,86.714570,66.823088,0.916047,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1822.100000,1831.970000,1808.470000,1829.040000,877814543,2025.380000,2032.850000,2005.500000,2029.810000,403259443,253.450000,256.860000,253.320000,256.130000,97120044,129.200000,129.690000,128.140000,129.690000,111812964,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-02-02,93.100000,93.900000,90.500000,93.700000,13866200,88.071429,87.349609,68.133475,1.356335,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1824.100000,1827.910000,1777.850000,1806.500000,973917373,2021.250000,2024.940000,1971.280000,2004.310000,424311137,255.930000,260.390000,255.900000,260.390000,93679170,128.940000,130.080000,128.470000,129.270000,52809822,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-02-03,94.400000,94.400000,91.500000,91.500000,10130300,88.885714,87.726917,60.998387,1.510335,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1807.090000,1827.220000,1805.220000,1813.400000,985977888,2008.240000,2018.350000,1991.130000,1997.690000,439318811,263.740000,265.710000,263.740000,265.180000,90316388,129.340000,130.320000,128.210000,128.530000,52571726,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-02-04,91.500000,91.900000,90.600000,91.800000,7656400,89.985714,88.097197,61.589100,1.637710,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1813.870000,1813.870000,1780.710000,1791.430000,1053888972,1998.450000,1998.970000,1974.340000,1988.190000,505118330,265.440000,268.970000,263.620000,265.950000,87922108,128.770000,129.730000,128.250000,129.060000,46256260,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-02-05,91.700000,91.800000,90.200000,90.200000,5643400,90.728571,88.288361,56.660143,1.591206,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1789.140000,1800.100000,1782.180000,1782.560000,739892290,1987.080000,1992.200000,1969.270000,1969.270000,347224406,266.350000,267.680000,262.670000,263.040000,98584051,129.380000,129.850000,128.030000,128.110000,46804888,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-02-06,89.700000,89.900000,86.000000,88.400000,13814700,91.142857,88.298510,51.652012,1.393049,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1768.770000,1782.340000,1754.390000,1755.490000,1133423406,1956.660000,1969.190000,1942.910000,1943.600000,529103834,263.170000,263.170000,256.280000,256.280000,109257710,128.350000,128.350000,125.220000,126.350000,80340786,,
MWG,CTCP Đầu tư Thế giới Di động,Bán lẻ,Bán lẻ,2026-02-09,89.000000,90.000000,88.500000,89.300000,5452400,91.114286,88.389555,53.848547,1.293717,16.987579,3.665243,0.233070,0.091120,4785.849782,4785.849782,1.530303,1.520630,0.299053,0.198822,0.045109,1769.760000,1771.730000,1749.870000,1754.820000,726411658,1959.240000,1961.860000,1944.190000,1947.750000,304473765,257.350000,258.280000,254.760000,256.010000,47344363,125.490000,126.740000,125.470000,126.740000,23024836,,
